scale,unknowns,m,n,total_cores,threads,median_runtime_seconds,mean_runtime_seconds,min_runtime_seconds,max_runtime_seconds,repeat_count
small,1000000,1000,1000,1,1,246.85,246.85,245.7,248.0,2
small,1000000,1000,1000,2,1,83.81,83.81,83.55,84.07,2
small,1000000,1000,1000,2,2,230.5,230.5,229.6,231.4,2
small,1000000,1000,1000,4,1,49.26,49.26,48.91,49.61,2
small,1000000,1000,1000,4,2,78.845,78.845,75.31,82.38,2
small,1000000,1000,1000,4,4,228.1,228.1,225.7,230.5,2
small,1000000,1000,1000,8,1,60.175,60.175,60.14,60.21,2
small,1000000,1000,1000,8,2,43.364999999999995,43.364999999999995,43.32,43.41,2
small,1000000,1000,1000,8,4,73.93,73.93,71.75,76.11,2
small,1000000,1000,1000,8,8,225.95,225.95,225.5,226.4,2
small,1000000,1000,1000,16,1,85.47,85.47,85.25,85.69,2
small,1000000,1000,1000,16,2,35.64,35.64,28.07,43.21,2
small,1000000,1000,1000,16,4,30.560000000000002,30.560000000000002,27.1,34.02,2
small,1000000,1000,1000,16,8,70.3,70.3,70.22,70.38,2
small,1000000,1000,1000,32,1,29.8,29.8,29.8,29.8,2
small,1000000,1000,1000,32,2,38.645,38.645,38.59,38.7,2
small,1000000,1000,1000,32,4,23.16,23.16,23.02,23.3,2
small,1000000,1000,1000,32,8,25.895,25.895,25.73,26.06,2
small,1000000,1000,1000,64,1,8.138,8.138,8.107,8.169,2
small,1000000,1000,1000,64,2,9.26,9.26,9.208,9.312,2
small,1000000,1000,1000,64,4,17.225,17.225,16.92,17.53,2
small,1000000,1000,1000,64,8,16.35,16.35,16.15,16.55,2
small,1000000,1000,1000,128,1,3.855,3.855,3.844,3.866,2
small,1000000,1000,1000,128,2,4.372,4.372,4.369,4.375,2
small,1000000,1000,1000,128,4,6.398,6.398,6.394,6.402,2
small,1000000,1000,1000,128,8,15.46,15.46,15.44,15.48,2
