scale,m,n,unknowns,nodes,ppn,threads,mpi_ranks,total_cores,unknowns_per_core,matrix_type,runtime_seconds,memory_mb,status,source_file
small,1000,1000,1000000,1,1,1,1,1,1e+06,,245.7,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13996330.csv
small,1000,1000,1000000,1,1,1,1,1,1e+06,,248,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997004.csv
small,1000,1000,1000000,1,2,1,2,2,500000,,83.55,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13996330.csv
small,1000,1000,1000000,1,2,1,2,2,500000,,84.07,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997004.csv
small,1000,1000,1000000,1,1,2,1,2,500000,,229.6,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997004.csv
small,1000,1000,1000000,1,1,2,1,2,500000,,231.4,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13996330.csv
small,1000,1000,1000000,1,4,1,4,4,250000,,48.91,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13996330.csv
small,1000,1000,1000000,1,4,1,4,4,250000,,49.61,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997004.csv
small,1000,1000,1000000,1,2,2,2,4,250000,,75.31,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13996330.csv
small,1000,1000,1000000,1,2,2,2,4,250000,,82.38,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997004.csv
small,1000,1000,1000000,1,1,4,1,4,250000,,225.7,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997004.csv
small,1000,1000,1000000,1,1,4,1,4,250000,,230.5,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13996330.csv
small,1000,1000,1000000,1,8,1,8,8,125000,,60.14,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13996330.csv
small,1000,1000,1000000,1,8,1,8,8,125000,,60.21,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997004.csv
small,1000,1000,1000000,1,4,2,4,8,125000,,43.32,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997004.csv
small,1000,1000,1000000,1,4,2,4,8,125000,,43.41,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13996330.csv
small,1000,1000,1000000,1,2,4,2,8,125000,,71.75,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997004.csv
small,1000,1000,1000000,1,2,4,2,8,125000,,76.11,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13996330.csv
small,1000,1000,1000000,1,1,8,1,8,125000,,225.5,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13996330.csv
small,1000,1000,1000000,1,1,8,1,8,125000,,226.4,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997004.csv
small,1000,1000,1000000,1,16,1,16,16,62500,,85.25,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13996330.csv
small,1000,1000,1000000,1,16,1,16,16,62500,,85.69,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997004.csv
small,1000,1000,1000000,1,8,2,8,16,62500,,28.07,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997004.csv
small,1000,1000,1000000,1,8,2,8,16,62500,,43.21,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13996330.csv
small,1000,1000,1000000,1,4,4,4,16,62500,,27.1,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997004.csv
small,1000,1000,1000000,1,4,4,4,16,62500,,34.02,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13996330.csv
small,1000,1000,1000000,1,2,8,2,16,62500,,70.22,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13997004.csv
small,1000,1000,1000000,1,2,8,2,16,62500,,70.38,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13996330.csv
small,1000,1000,1000000,1,1,16,1,16,62500,,215.4,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13996330.csv
small,1000,1000,1000000,1,32,1,32,32,31250,,29.8,,completed,runs/size_grid/size_grid_ex2_arch-omp-opt_job13996330.csv
