scale,m,n,unknowns,nodes,ppn,threads,mpi_ranks,total_cores,unknowns_per_core,matrix_type,runtime_mean_s,runtime_std_s,runtime_min_s,runtime_max_s,speedup,efficiency,cu,n_runs
small,1000,1000,1000000,1,1,1,1,1,1000000.0,,246.85,1.6263455967290674,245.7,248.0,1.0,1.0,0.06856944444444445,2
small,1000,1000,1000000,1,1,2,1,2,500000.0,,230.5,1.2727922061357937,229.6,231.4,1.0709327548806942,0.5354663774403471,0.06402777777777778,2
small,1000,1000,1000000,1,2,1,2,2,500000.0,,83.81,0.3676955262170019,83.55,84.07,2.9453525832239587,1.4726762916119793,0.023280555555555558,2
small,1000,1000,1000000,1,1,4,1,4,250000.0,,228.1,3.394112549695436,225.7,230.5,1.0822007891275756,0.2705501972818939,0.0633611111111111,2
small,1000,1000,1000000,1,2,2,2,4,250000.0,,78.845,4.999244942988886,75.31,82.38,3.1308263047751916,0.7827065761937979,0.021901388888888887,2
small,1000,1000,1000000,1,4,1,4,4,250000.0,,49.26,0.4949747468305853,48.91,49.61,5.011165245635404,1.252791311408851,0.013683333333333332,2
small,1000,1000,1000000,1,1,8,1,8,125000.0,,225.95,0.6363961030678968,225.5,226.4,1.0924983403407833,0.1365622925425979,0.06276388888888888,2
small,1000,1000,1000000,1,2,4,2,8,125000.0,,73.93,3.0829855659733467,71.75,76.11,3.338969295279318,0.41737116190991475,0.020536111111111113,2
small,1000,1000,1000000,1,4,2,4,8,125000.0,,43.364999999999995,0.06363961030678666,43.32,43.41,5.692378646373804,0.7115473307967255,0.012045833333333332,2
small,1000,1000,1000000,1,8,1,8,8,125000.0,,60.175,0.049497474683058526,60.14,60.21,4.102201911092647,0.5127752388865808,0.016715277777777777,2
small,1000,1000,1000000,1,1,16,1,16,62500.0,,215.4,nan,215.4,215.4,1.146007428040854,0.07162546425255338,0.059833333333333336,1
small,1000,1000,1000000,1,2,8,2,16,62500.0,,70.3,0.11313708498984519,70.22,70.38,3.511379800853485,0.21946123755334282,0.019527777777777776,2
small,1000,1000,1000000,1,4,4,4,16,62500.0,,30.560000000000002,4.89317892581091,27.1,34.02,8.077552356020941,0.5048470222513088,0.00848888888888889,2
small,1000,1000,1000000,1,8,2,8,16,62500.0,,35.64,10.705596667164329,28.07,43.21,6.926206509539843,0.4328879068462402,0.0099,2
small,1000,1000,1000000,1,16,1,16,16,62500.0,,85.47,0.3111269837220793,85.25,85.69,2.888147888147888,0.180509243009243,0.023741666666666668,2
small,1000,1000,1000000,1,1,32,1,32,31250.0,,216.5,nan,216.5,216.5,1.1401847575057737,0.03563077367205543,0.06013888888888889,1
small,1000,1000,1000000,1,2,16,2,32,31250.0,,58.24,nan,58.24,58.24,4.238495879120879,0.13245299622252746,0.016177777777777777,1
small,1000,1000,1000000,1,4,8,4,32,31250.0,,25.895,0.23334523779155947,25.73,26.06,9.532728325931647,0.29789776018536396,0.007193055555555556,2
small,1000,1000,1000000,1,8,4,8,32,31250.0,,23.16,0.1979898987322341,23.02,23.3,10.658462867012089,0.3330769645941278,0.0064333333333333334,2
small,1000,1000,1000000,1,16,2,16,32,31250.0,,38.645,0.07778174593051983,38.59,38.7,6.387631000129383,0.1996134687540432,0.010734722222222224,2
small,1000,1000,1000000,1,32,1,32,32,31250.0,,29.8,0.0,29.8,29.8,8.283557046979865,0.2588611577181208,0.008277777777777778,2
small,1000,1000,1000000,1,1,64,1,64,15625.0,,195.6,nan,195.6,195.6,1.2620143149284253,0.019718973670756645,0.05433333333333333,1
small,1000,1000,1000000,1,2,32,2,64,15625.0,,54.11,nan,54.11,54.11,4.562003326557013,0.07128130197745333,0.015030555555555556,1
small,1000,1000,1000000,1,4,16,4,64,15625.0,,20.76,nan,20.76,20.76,11.890655105973023,0.18579148603082848,0.005766666666666667,1
small,1000,1000,1000000,1,8,8,8,64,15625.0,,16.35,0.2828427124746205,16.15,16.55,15.097859327217124,0.23590405198776757,0.004541666666666667,2
small,1000,1000,1000000,1,16,4,16,64,15625.0,,17.225,0.43133513652379357,16.92,17.53,14.330914368650216,0.22392053701015963,0.004784722222222222,2
small,1000,1000,1000000,1,32,2,32,64,15625.0,,9.26,0.07353910524340038,9.208,9.312,26.65766738660907,0.4165260529157667,0.0025722222222222223,2
small,1000,1000,1000000,1,64,1,64,64,15625.0,,8.138,0.04384062043356677,8.107,8.169,30.33300565249447,0.4739532133202261,0.0022605555555555556,2
small,1000,1000,1000000,1,1,128,1,128,7812.5,,208.4,nan,208.4,208.4,1.1845009596928981,0.009253913747600767,0.05788888888888889,1
small,1000,1000,1000000,1,2,64,2,128,7812.5,,53.57,nan,53.57,53.57,4.607989546387904,0.0359999183311555,0.014880555555555555,1
small,1000,1000,1000000,1,4,32,4,128,7812.5,,20.45,nan,20.45,20.45,12.070904645476773,0.09430394254278729,0.005680555555555555,1
small,1000,1000,1000000,1,8,16,8,128,7812.5,,14.99,nan,14.99,14.99,16.467645096731154,0.12865347731821214,0.004163888888888889,1
small,1000,1000,1000000,1,16,8,16,128,7812.5,,15.46,0.028284271247462554,15.44,15.48,15.967011642949545,0.12474227846054332,0.0042944444444444445,2
small,1000,1000,1000000,1,32,4,32,128,7812.5,,6.398,0.005656854249492385,6.394,6.402,38.58236949046577,0.30142476164426385,0.0017772222222222221,2
small,1000,1000,1000000,1,64,2,64,128,7812.5,,4.372,0.004242640687119446,4.369,4.375,56.461573650503205,0.4411060441445563,0.0012144444444444444,2
small,1000,1000,1000000,1,128,1,128,128,7812.5,,3.855,0.015556349186104216,3.844,3.866,64.03372243839169,0.5002634565499351,0.0010708333333333334,2
medium-small,2240,2240,5017600,1,1,1,1,1,5017600.0,,1874.0,nan,1874.0,1874.0,1.0,1.0,0.5205555555555555,1
medium-small,2240,2240,5017600,1,1,2,1,2,2508800.0,,1742.0,nan,1742.0,1742.0,1.0757749712973594,0.5378874856486797,0.48388888888888887,1
