dataset,ranks,threads,total_cores,time_sec,iterations,error_norm,n_samples,speedup,efficiency
hybrid,1,1,1,101.3,4311.0,0.010793,1,1.0,1.0
hybrid,2,1,2,51.44,3537.0,0.00975421,1,1.969284603421462,0.984642301710731
hybrid,4,1,4,20.89,2062.0,0.0106451,1,4.849210148396361,1.2123025370990903
hybrid,4,2,8,17.83,2062.0,0.0106451,1,5.681435782389232,0.710179472798654
hybrid,4,4,16,15.38,2062.0,0.0106451,1,6.586475942782834,0.41165474642392713
hybrid,32,1,32,8.101,4173.0,0.0113333,1,12.504629058140969,0.3907696580669053
hybrid,64,1,64,2.471,5150.0,0.0124511,1,40.99554836098745,0.6405554431404289
hybrid,128,1,128,1.729,6567.0,0.0138394,1,58.588779641411215,0.4577248409485251
mpi_only,1,1,1,154.3,4311.0,,3,1.0,1.0
mpi_only,2,1,2,68.04,3537.0,,3,2.2677836566725453,1.1338918283362727
mpi_only,4,1,4,25.18,2062.0,,3,6.127879269261319,1.5319698173153298
mpi_only,8,1,8,41.93,4918.0,,3,3.679942761745767,0.45999284521822087
mpi_only,16,1,16,20.14,5052.0,,3,7.661370407149951,0.47883565044687193
mpi_only,32,1,32,8.656,4173.0,,3,17.825785582255083,0.5570557994454713
mpi_only,64,1,64,3.138,5150.0,,3,49.17144678138943,0.7683038559592098
mpi_only,128,1,128,2.15,6567.0,,3,71.76744186046513,0.5606831395348838
